# Time X Y Z VX VY VZ Phi Theta Psi P Q R U1 U2 U3 U4
0.000000 -0.000001 0.000001 1.001384 -0.000375 0.000187 0.276749 0.001000 0.002000 0.001001 0.099821 0.200090 0.100000 18.742500 18.742500 18.742500 18.742500
0.010000 -0.000006 0.000003 1.004162 -0.000670 0.000334 0.278806 0.001912 0.003824 0.002004 0.082069 0.165000 0.100000 5.229679 4.897065 4.786213 5.118827
0.020000 -0.000015 0.000008 1.006958 -0.001129 0.000562 0.280479 0.002655 0.005308 0.003007 0.065546 0.132299 0.100000 5.195325 4.885425 4.782181 5.092081
0.030000 -0.000029 0.000015 1.009771 -0.001721 0.000856 0.282145 0.003247 0.006491 0.004011 0.051719 0.104932 0.100000 5.161335 4.901973 4.815603 5.074964
0.040000 -0.000050 0.000025 1.012601 -0.002418 0.001201 0.283805 0.003714 0.007424 0.005014 0.040304 0.082335 0.100000 5.130929 4.916775 4.845489 5.059644
0.050000 -0.000078 0.000039 1.015447 -0.003199 0.001586 0.285459 0.004078 0.008151 0.006017 0.030905 0.063723 0.100000 5.105484 4.929101 4.870413 5.046795
0.060000 -0.000114 0.000057 1.018310 -0.004043 0.002002 0.287107 0.004357 0.008707 0.007019 0.023175 0.048413 0.100000 5.084359 4.939270 4.891012 5.036101
0.070000 -0.000159 0.000079 1.021189 -0.004937 0.002441 0.288749 0.004566 0.009124 0.008021 0.016827 0.035834 0.100000 5.066834 4.947640 4.908009 5.027203
0.080000 -0.000213 0.000106 1.024085 -0.005867 0.002896 0.290385 0.004718 0.009426 0.009022 0.011622 0.025515 0.100000 5.052291 4.954519 4.922021 5.019793
0.090000 -0.000276 0.000137 1.026997 -0.006823 0.003363 0.292016 0.004822 0.009634 0.010024 0.007364 0.017065 0.100000 5.040217 4.960162 4.933561 5.013616
0.100000 -0.000350 0.000173 1.029925 -0.007795 0.003837 0.293642 0.004888 0.009765 0.011024 0.003888 0.010159 0.100000 5.030186 4.964782 4.943054 5.008459
